Report generated on: 11-25-2024 12:36:05
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"","energy consumption per GDP (1000 Btu/2015$ GDP PPP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.47-34-BLZ-TBTUUSDPP.A","        Belize","0","0","0","0","0","0","0","0","3425651.1802127203","4928363.964992783","4.245028068977122","4.31434346638476","3.2280911584390037","3.029615999074785","2.886183946985119","3.367288013637741","2.8678281614487013","4.387168341615817","4.1603956536039455","3.9421379934690752","3.598408504822217","3.817459522002604","3.510785980217152","3.22370523186899","2.950175728855818","3.104340492846646","3.163689335473467","2.865898516828399","2.7532952839838565","2.9458353478487744","3.5244097850492575","2.8649439002680177","3.2263081678392638","3.1925400773619357","2.93600770923837","3.266764422191035","3.2710130067365695","3.7526899242585228","3.329938691256043","3.3038050669795314","3.0004550883747916","3.391857786181076","3.278959227120041"
"INTL.47-34-BEN-TBTUUSDPP.A","        Benin","0","0","0","0","0","0","0","0","0.7350541774243108","0.7797069618059567","0.8221098583187663","0.9219061887165707","0.9948884295125674","1.0336622687833814","1.0600681061623307","1.078898940086511","1.1280736769857238","1.154210989715166","1.1969106391466464","0.5574196953461776","1.4048303608890305","1.5241464646771525","1.6791051431144612","1.8634745392483234","1.8831296562676147","1.7380179924596284","2.285295232456499","2.5455565868529644","2.4817249499613414","2.6928034376402","3.0143919195896274","2.7368911944644028","2.475928287215893","2.357292800253389","2.3576418979922553","2.544557992303606","3.0023745642810438","3.0138390109990274","3.1337721567071672","2.6642427226278484","2.7512770594999965","2.4117589911520585","2.2689300077210373"
"INTL.47-34-BMU-TBTUUSDPP.A","        Bermuda","0","0","0","0","0","0","0","0","2.4602628356043494","2.9692579540243518","2.1646592578298463","1.8915286446225608","1.5191988465917434","1.7234888451116746","1.6350824947678924","1.591197027507706","1.5805720481794574","1.5069364321791523","1.4502350882091024","1.4026891732840692","1.500588267002441","1.4212632891798054","1.5172150521735348","1.4638087420345136","1.4802258640255717","1.5323864300101744","1.6529248704119945","1.7997673657640205","1.6488735539383172","1.3381931236398026","1.5645315170369811","1.053230734273443","1.2019507786939656","1.2107052125631876","1.6255010240976677","1.357672318902898","1.7369050653556208","1.654385030714593","1.718524860273822","1.7120334737013891","1.6809604505393854","1.2455653648136569","1.2536240895422077"
"INTL.47-34-BTN-TBTUUSDPP.A","        Bhutan","0.16093497381425537","0.6685167544594477","0.6576538832745387","0.5832676945515829","0.5799276563323188","0.6071201849645784","0.6676370453118085","1.018157215097233","1.0400682930095646","0.9987008234696161","1.3245625412048827","1.3757162173755577","1.3302931185463078","1.3708101146507103","1.625327268681637","1.8423584000736442","1.989993126874089","2.183531960985274","2.019063888620763","1.924286243536503","2.0702802467680588","2.163052285938438","2.1492471205497474","2.0889244193134906","2.141886754149342","2.3120194215317578","3.18427235897638","2.0572911542113883","1.8182908669405553","2.190910369367234","2.291478932041416","2.2034503581565175","2.2883926924268723","2.394634582779824","2.2564929444328534","2.2144393508015696","2.2561136847427528","2.2893664310345643","2.5211011484013","2.52556690879915","3.1127866077572808","5.34021111180262","5.486916318653495"
"INTL.47-34-BOL-TBTUUSDPP.A","        Bolivia","0","0","0","0","0","0","0","0","0","0","2.9681947365297594","2.7380903438824817","2.943992718920423","2.777993483386126","3.0021825083728038","3.340552999701461","3.0967444167408815","3.327135444388305","2.9300915358540283","3.2614298905654233","3.3259817068384505","2.719845216169605","2.920889074193098","3.9748008424972583","3.9496361249828276","3.7275667123957352","3.916717618229669","4.028972304976474","3.9012283879269773","3.719845852144693","3.647905459214747","3.5801923592321176","4.084745077883282","3.8668769578630364","3.723611357881778","3.7260936935355207","3.760204355309716","3.5196851873242725","3.467979802114361","3.32410479493228","2.8736291226327855","3.0331483954347003","3.1095616708756326"
"INTL.47-34-BIH-TBTUUSDPP.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","17.48274462706046","13.01444748884885","11.467750987962072","17.259718876336976","5.593629294402557","6.802181875739129","7.1654666239397065","6.361450387091011","6.9307283115964","6.624048170229412","6.369205902057699","5.345745618140088","4.99722054605095","4.355681100983686","4.181200892786097","4.006847440045726","4.305488832262262","5.310447283129336","5.5126586968265965","5.795076254898255","5.668567136547329","5.198694264050794","5.145210058212652","5.032264589343328","4.971978341129065","5.004904292356436","4.573367794695851","4.23053938374307","4.169229253972261","4.4429056452257205","5.768161517583713"
"INTL.47-34-BWA-TBTUUSDPP.A","        Botswana","3.2663129485560463","3.1397306851304085","2.611803144096062","2.313710029021307","2.1291733105723094","2.595925331451131","2.551774792861138","2.4039541510528872","2.3293253768045723","2.3275476023280586","2.4082301512958733","2.3457333233002453","2.764768815640246","2.632261590531138","2.5728599173013817","2.4012097705361297","2.221926543974781","2.1370725852715693","2.328282600382647","2.0360299660760917","2.549712050356064","2.609469144471896","2.524063897081469","2.442530042380503","2.413665667122996","2.42827328067558","2.4315010386521303","2.364998011336322","2.3812059350872823","2.607218382906319","2.446385236234385","2.4042954228348563","2.3804254950628185","2.1271869224263757","2.0213375083334797","2.5887630884639874","2.6571689240978706","2.3383629603281957","2.1857992480833475","2.1103255638775713","2.2905271851298736","2.097073646703428","2.5866763776513118"
"INTL.47-34-BRA-TBTUUSDPP.A","        Brazil","2.2973474811303505","2.3029718081623454","2.2928608634695773","2.312471182167119","2.351484714552883","2.3123542930075525","2.347417118383993","2.327966590478898","2.404613133309552","2.3829493817906044","2.8868375447973404","2.6795077437875543","2.780156866361009","2.7408091563588406","2.7462514899203407","2.818945824118378","2.950251871250376","3.034755681405556","3.1105747535034234","3.197280911567311","3.249429636604643","3.22538682058297","3.1574841401715137","3.125493105271391","3.0988407797210287","3.056459648988215","3.087920724135135","3.0680053991692144","3.093188571656181","3.005882491484175","3.1195848414319434","3.109231644139261","3.2130724765349514","3.273764178128321","3.358220161419754","3.430497008822388","3.4360283895570483","3.4392286895931554","3.324482655126717","3.286908316962382","3.2113660115877583","3.315123409380904","3.388486062936162"
"INTL.47-34-VGB-TBTUUSDPP.A","        British Virgin Islands","0","0","0","0","0","0","0","0","3.505911537020455","3.218844846828002","2.5571478905534364","2.0807184121503006","1.6775216094602636","1.2797491861781205","1.026195936445204","0.829925036668724","0.9957886170621391","0.8986991503482393","0.814338335705484","0.7431694336810081","1.198761378784943","1.1727899876868841","1.283537769192768","1.5682002043828775","1.5889814837516543","1.4296909638005197","1.548889036136963","1.5924466793768006","1.7054549343524334","1.7785367295205499","1.7921387145563739","1.888799858052947","1.8962820196007975","1.8321399058323549","1.8304138900230074","1.8282081506836911","1.7622689019842548","1.6641173278928008","1.9640198674287375","1.464450880302209","1.2742806868750793","1.5981264084225797","1.6451608667800188"
"INTL.47-34-BRN-TBTUUSDPP.A","        Brunei","0","0","0","0","0","0","0","0","3.993312378905823","4.590276028637655","3.842211469862916","2.9769560765609713","2.778766519657107","2.6331049324653253","2.453489312361852","2.9044115918822464","2.629253346696256","2.8538424192793745","2.5956977991678727","2.9718529076113587","2.9460536455705433","3.2601027266797575","3.664915588974149","3.684562356229899","4.071069553446148","4.568408068476117","6.743958155509288","7.068960002487242","7.403542580064798","4.999898383309584","5.550777158484083","5.495979884804954","5.293825385564663","5.030334038982591","5.802960497132237","6.437704959072933","6.895526834377807","6.832485462717206","7.102649949643801","6.9033943382329666","7.547681918174961","7.333663594901146","8.021711816980732"
"INTL.47-34-BGR-TBTUUSDPP.A","        Bulgaria","20.618052956576037","19.468867425212746","19.778181794848738","19.522975289838225","18.922269387566068","18.974622285457148","17.997335476055948","16.82516927965","15.425911845016715","14.647723987127822","14.729525161868168","12.606421673868892","13.199586505559873","12.924626683357358","13.01382604706167","11.478770623956114","10.732978143788035","11.453218344411058","9.849706690020835","9.866224594427594","9.335106609754918","9.08236673942158","8.681029885664609","8.315892433752678","7.710745158618041","7.4818131146250035","7.19497301330998","6.48231635394589","6.00114847083617","5.587970798859107","5.531864550853469","5.917465322734801","5.653065517565879","5.262070281075418","5.5178218036013025","5.575821432668504","5.243593434167595","5.189137719399976","4.96511791529113","4.665256367875514","4.538052123944529","4.678941137694501","4.599961373021667"
"INTL.47-34-BFA-TBTUUSDPP.A","        Burkina Faso","0","0","0","0","0","0","0","0","0.949372170026866","0.8329010627810371","0.8547588667372897","0.9045133538964778","0.9074619261959984","0.9544968637240325","1.0359983406293982","0.9876476923450253","0.9370735654909875","1.4316141300441183","1.212463532121659","1.152896024963968","1.035646384572057","1.1051574148549625","1.1062572832825999","1.125194089329555","0.9651208367739944","0.9459237333928457","0.8843316158959273","1.204365847585778","1.2390735497618135","1.1298337972336934","1.1585784455042292","1.2359712014356763","1.3689203621088308","1.5512804221734522","1.3862727573851592","1.7004438956308305","1.5334447517263556","1.6769780635829499","1.742050850293766","1.8761715565503538","1.6199922996458103","1.7596391983626831","1.7861716768862772"
"INTL.47-34-MMR-TBTUUSDPP.A","        Burma","0","0","0","0","0","0","0","0","2.9895406252263803","2.9557425935410144","2.8171748570221435","2.6539386547039197","2.5302979387221445","2.5166609688017467","2.8195397476196757","2.8191652497227375","2.6830438895854414","2.731223354234091","2.937387756867808","2.735368202204385","2.720333001374835","2.2206389613488753","2.3329197263348003","2.345656842821378","2.139501905225255","2.4346833784400457","2.0027005765531842","1.920840216981672","1.6062319564734229","1.3550695570507592","1.339197519405692","1.2915776938247248","1.4982148575429797","1.6118935248513497","1.787384708910382","1.5273695205025204","1.680974568018973","2.086828004577198","1.9986450883622748","1.8825119932770844","1.8007592332222873","2.263892975912716","2.0981830647721287"
"INTL.47-34-BDI-TBTUUSDPP.A","        Burundi","0","0","0","0","0","0","0","0","0.7049998738000094","0.7853759488109344","0.7994137240420123","0.8603806545604885","0.7825294257456766","0.9518849949791963","1.0300088099189098","1.0722505604893695","1.2230108863878077","1.2182406838708788","1.191756045572637","1.1747451228294914","0.9562026913276084","0.7604800554293069","0.6821203309958652","0.5433712681513341","0.6353283005603461","0.5093883452858742","0.5797873952733189","0.9050745151140921","0.5358534657358717","0.5156489026341994","0.7124376630052772","0.8370056297724207","0.74315509411107","0.7788089806134623","0.6907884022312749","0.7319662064410827","0.8220622605601791","0.9665099183627411","1.2101188283777453","1.2770722052770553","1.2169363914734048","1.312115919707115","1.3304843982489996"
"INTL.47-34-CPV-TBTUUSDPP.A","        Cabo Verde","0","0","0","0","0","0","0","0","1.119456878993111","1.2905830483047778","1.2817633050292698","1.263983221138489","1.4524284722246907","1.3568387215493152","1.4928937575937624","1.3542181742499524","1.4302702011788737","1.3256218323400608","1.2250676559673817","1.0951749224583662","2.6142762270844484","2.718230236298978","2.7736718313781092","2.604383731187076","2.6962349767083906","3.908519023378886","3.723074768554371","3.773994527889355","3.5755048817103945","3.4359347151107027","3.6192269538736292","4.106092566089483","3.557894974803081","3.4552947647833547","3.700792820622434","3.6341978749103205","3.6513921897885107","3.725808837385118","3.6185070348186676","3.3569179709835515","3.9656937646473507","2.5940559585591667","2.2711324504571477"
"INTL.47-34-KHM-TBTUUSDPP.A","        Cambodia","0","0","0","0","0","0","0","0","0.37332487725529534","0.37408227164464775","0.3713433352821345","0.36687955532992483","0.3441971168794675","0.3301172477758349","0.5068845888759392","1.3686018153804327","1.421673772087879","1.6244423556505978","1.8203289877445858","1.6652952296377415","1.392013302057194","1.378435346586414","1.2949264377132073","1.2740940828288498","1.2042108640394529","1.2033478502815893","1.1740250224994455","1.2493298059764133","1.2209692610693363","1.452116993998259","1.5950507313977698","1.5360698554191834","1.5404215464573272","1.46786787435202","1.433198186879553","1.5483012353803842","1.7820415562504197","1.7443478134460098","1.946304908964178","2.096156290283875","2.103536844738201","2.28076399869138","2.13462391027171"
"INTL.47-34-CMR-TBTUUSDPP.A","        Cameroon","0","0","0","0","0","0","0","0","1.201374805364699","1.462623455278535","1.5768340599395012","1.6499851638076528","1.7232017704204592","1.5934390472755067","1.69896766238725","1.6912036821815197","1.5893020914221059","1.5927899585124112","1.518122743624611","1.374688061022637","1.3843770320723314","1.305319432942565","1.2811068650147126","1.2991238498478583","1.2449197907247713","1.1803728668477178","1.4636785784382886","1.3966466927484307","1.3361287575672975","1.4638851606916203","1.650846034921418","1.6809661999107055","1.6292048511053667","1.3031407309215746","1.6280505924897706","1.5554679476856854","1.4484362587734354","1.3758238025080733","1.362859610206218","1.3215799094682552","1.443806442261378","1.3176452981052202","1.3287802199110732"
"INTL.47-34-CAN-TBTUUSDPP.A","        Canada","11.294359595059419","10.628100105497515","10.489203505096343","10.007584794408606","10.040536090755335","9.881976697116736","9.74991252923301","9.685614933094932","9.89282436691993","9.910374445449051","9.62313419972112","9.804657551468084","10.021668082559026","10.02754979931563","9.884230832156296","9.7554019709855","9.840068266594773","9.517416196677548","9.010505785967007","9.042282392852337","8.518702920823403","8.565933946236676","8.492425342019123","8.625855361941197","8.607830721396276","8.381616190426374","8.307807009225286","8.031010241799821","7.717230377049479","7.81381187443625","7.9794945181172015","7.863586917457344","7.898980971015118","7.91277745936457","7.7958086013482975","7.722696291650388","7.5423822844361705","7.528016860940675","7.499254862210947","7.270736934526944","7.075256822054241","6.766391209031699","6.797554434363759"
"INTL.47-34-CYM-TBTUUSDPP.A","        Cayman Islands","0","0","0","0","0","0","0","0","3.1621819706152925","2.897776309020788","2.721008287013444","2.6575121268457242","2.615108145348519","2.3650376662443064","2.5909362547372115","2.64857177740825","2.5295384313973197","2.391601555843911","1.8357649850690831","1.7756669454145966","2.564435965015467","2.5824544301017562","2.6315860285700663","2.6133386812345374","2.4481189795310474","2.3665086229926295","2.294686735547285","2.719886972581437","2.7397559981943775","2.739582972057925","2.8291194251607887","2.9440326619249224","2.6869264420035477","2.618847055927706","2.5941393233840113","2.6684021883234905","2.54649002646809","2.8516796651975573","2.5432257737617032","2.9680015205854584","2.638354214458917","2.5137821502503055","2.5933015506468444"
